age,male,edu,time_served,charges,n_theft,n_sex_abuse
42,1,11,0,0,3,0
41,1,16,0,0,0,0
30,1,12,0,1,0,0
26,1,10,0,0,0,0
29,1,11,1,0,30,0
23,1,11,1,1,0,0
28,1,6,0,0,0,0
20,1,9,1,0,0,0
19,0,12,0,0,0,0
35,1,9,0,0,20,0
32,1,9,0,0,3,0
29,0,9,0,0,0,0
42,1,12,0,0,0,0
21,1,12,0,0,0,0
28,1,11,0,1,0,0
42,1,12,0,0,5,0
30,1,9,1,1,0,0
37,1,12,1,0,0,0
28,1,12,0,1,0,0
53,1,12,0,0,0,0
31,1,4,0,0,0,0
20,1,12,0,0,3,0
37,1,12,0,1,0,0
30,1,13,0,1,0,0
25,1,13,0,0,0,0
31,1,11,0,0,0,0
25,1,12,0,0,7,0
36,1,12,0,0,0,0
34,1,12,0,0,15,0
65,1,7,0,1,0,0
28,1,12,0,0,0,0
27,1,12,0,0,0,0
67,1,5,0,0,0,0
36,1,8,0,0,0,0
39,1,9,0,0,2,0
33,1,9,0,0,0,0
49,1,6,0,0,0,0
41,1,10,0,0,0,0
32,1,8,0,0,0,0
55,1,6,0,0,10,0
31,1,10,0,0,1,0
36,1,12,0,0,2,0
44,1,17,0,0,0,0
47,1,14,0,0,0,0
30,1,9,1,0,0,0
34,1,12,0,0,0,0
44,1,17,1,0,0,0
24,1,9,0,0,0,0
56,1,12,0,0,0,0
21,1,12,0,0,0,0
26,1,12,0,0,0,0
36,1,12,0,1,0,0
31,1,10,0,0,20,0
60,1,12,0,1,0,0
25,1,12,0,1,0,0
41,0,11,1,1,0,0
49,1,12,0,0,0,0
30,1,10,1,1,8,0
44,1,11,1,0,0,0
37,1,12,0,0,1,0
35,1,9,0,0,2,0
33,1,12,0,0,3,0
30,1,11,1,0,3,0
46,1,12,0,0,0,0
38,1,9,1,0,0,0
35,1,12,0,0,1,0
39,1,10,0,0,0,0
23,1,12,0,0,0,0
34,1,11,0,0,0,0
40,1,6,0,1,0,0
31,1,12,0,0,0,0
45,1,9,0,0,0,0
33,1,10,0,0,0,0
34,1,12,0,0,0,0
47,1,11,0,0,1,0
30,1,11,0,0,0,0
37,1,15,0,0,0,0
29,1,12,1,0,0,0
51,0,10,0,1,0,0
59,1,15,1,0,0,0
34,1,12,1,0,3,0
38,1,11,1,0,3,0
26,1,12,0,1,0,0
41,1,9,0,0,0,0
52,1,14,0,0,0,0
35,1,9,1,0,0,0
38,1,12,1,0,0,0
37,1,11,0,1,1,0
45,1,10,0,0,2,0
32,1,11,1,0,4,0
23,1,12,0,1,0,0
36,1,12,0,1,0,0
33,1,12,0,0,0,0
27,1,12,0,0,0,0
42,1,12,0,0,0,0
38,1,11,0,0,0,0
53,1,12,0,0,0,0
36,1,11,0,0,30,0
37,1,11,0,1,0,0
21,1,12,0,1,0,0
22,0,12,0,0,0,0
37,1,12,0,1,0,0
